id,textLength,patternLength,testType,found,iterations,timeNano,timeMillis
1,100,11,not_contains,false,92,46300,0,046
2,199,9,contains,true,144,64700,0,065
3,298,15,not_contains,false,289,134200,0,134
4,397,17,not_contains,false,398,181500,0,182
5,496,19,not_contains,false,491,235300,0,235
6,595,21,contains,true,121,57900,0,058
7,694,31,contains,true,31,13700,0,014
8,793,34,contains,true,105,50800,0,051
9,892,127,contains,true,144,57400,0,057
10,991,36,contains,true,585,277500,0,278
11,1090,72,not_contains,false,1059,480000,0,480
12,1189,74,contains,true,340,154300,0,154
13,1288,53,not_contains,false,1288,600300,0,600
14,1387,173,contains,true,1401,630100,0,630
15,1486,106,not_contains,false,1425,658000,0,658
16,1585,121,contains,true,1487,684800,0,685
17,1684,84,contains,true,1393,1578700,1,579
18,1783,99,contains,true,1637,859900,0,860
19,1882,94,worst_case,true,94,37000,0,037
20,1981,70,worst_case,true,70,27700,0,028
21,2080,83,worst_case,true,83,33000,0,033
22,2179,167,worst_case,true,167,60100,0,060
23,2278,227,worst_case,true,227,82300,0,082
24,2377,108,not_contains,false,2353,1083700,1,084
25,2476,176,contains,true,511,203800,0,204
26,2575,286,worst_case,true,286,89700,0,090
27,2674,111,not_contains,false,2638,1052900,1,053
28,2773,396,worst_case,true,396,121400,0,121
29,2872,179,contains,true,1245,478000,0,478
30,2971,297,contains,true,2594,904100,0,904
31,3070,153,worst_case,true,153,50300,0,050
32,3169,264,not_contains,false,3011,1079000,1,079
33,3268,125,contains,true,3022,1041800,1,042
34,3367,481,not_contains,false,2997,1128900,1,129
35,3466,133,not_contains,false,3468,1144000,1,144
36,3565,237,worst_case,true,237,59900,0,060
37,3664,126,not_contains,false,3689,1154000,1,154
38,3763,418,contains,true,2021,619400,0,619
39,3862,193,worst_case,true,193,48300,0,048
40,3961,136,worst_case,true,136,40000,0,040
41,4060,290,worst_case,true,290,74600,0,075
42,4159,244,worst_case,true,244,61500,0,062
43,4258,250,worst_case,true,250,60800,0,061
44,4357,396,not_contains,false,4116,1298000,1,298
45,4456,171,worst_case,true,171,41500,0,042
46,4555,350,not_contains,false,4372,1346000,1,346
47,4654,193,contains,true,457,136600,0,137
48,4753,679,not_contains,false,4224,1325600,1,326
49,4852,231,contains,true,1702,532700,0,533
50,4951,206,not_contains,false,4926,1524100,1,524
51,5050,360,not_contains,false,4892,1494500,1,495
52,5149,257,not_contains,false,5090,661800,0,662
53,5248,238,contains,true,1229,80200,0,080
54,5347,445,worst_case,true,445,27100,0,027
55,5446,320,not_contains,false,5333,355600,0,356
56,5545,191,not_contains,false,5568,383000,0,383
57,5644,313,not_contains,false,5516,386700,0,387
58,5743,574,contains,true,5325,375900,0,376
59,5842,389,worst_case,true,389,25400,0,025
60,5941,457,contains,true,2705,184200,0,184
61,6040,208,not_contains,false,6065,412700,0,413
62,6139,255,worst_case,true,255,16400,0,016
63,6238,623,worst_case,true,623,38100,0,038
64,6337,218,not_contains,false,6383,427800,0,428
65,6436,229,worst_case,true,229,15600,0,016
66,6535,1307,not_contains,false,5459,388300,0,388
67,6634,331,worst_case,true,331,20700,0,021
68,6733,292,contains,true,6007,439100,0,439
69,6832,525,contains,true,4074,300300,0,300
70,6931,239,worst_case,true,239,16000,0,016
71,7030,639,contains,true,5794,422300,0,422
72,7129,891,contains,true,5890,430800,0,431
73,7228,481,not_contains,false,7044,573900,0,574
74,7327,666,not_contains,false,6938,556400,0,556
75,7426,390,contains,true,5623,499400,0,499
76,7525,301,not_contains,false,7506,708300,0,708
77,7624,693,not_contains,false,7214,661300,0,661
78,7723,643,not_contains,false,7362,668000,0,668
79,7822,434,worst_case,true,434,48400,0,048
80,7921,440,worst_case,true,440,38200,0,038
81,8020,381,worst_case,true,381,33100,0,033
82,8119,427,worst_case,true,427,38000,0,038
83,8218,304,worst_case,true,304,28600,0,029
84,8317,756,contains,true,1147,124700,0,125
85,8416,350,worst_case,true,350,32700,0,033
86,8515,327,worst_case,true,327,30100,0,030
87,8614,297,not_contains,false,8620,1445800,1,446
88,8713,670,contains,true,3919,374300,0,374
89,8812,314,not_contains,false,8837,979000,0,979
90,8911,387,contains,true,2018,211500,0,212
91,9010,1001,worst_case,true,1001,90900,0,091
92,9109,700,worst_case,true,700,73600,0,074
93,9208,354,contains,true,6858,79900,0,080
94,9307,423,contains,true,6055,73300,0,073
95,9406,587,not_contains,false,9148,103200,0,103
96,9505,380,worst_case,true,380,4400,0,004
97,9604,457,worst_case,true,457,4900,0,005
98,9703,1212,contains,true,8632,108700,0,109
99,9802,490,worst_case,true,490,5500,0,006
100,9901,366,not_contains,false,9914,108900,0,109
